Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
2	2028-11-01	258.3296459556179	80309133.72527517	833665.0352253235	5139351.591524967	3329202.0302202255
2	2028-12-01	246.76074219472727	75169782.1337502	780082.2889777955	5127566.653490762	3397167.073073495
2	2029-01-01	233.10027830021346	70042215.48025942	726624.9591722424	4015268.747426863	2382178.253448123
2	2029-02-01	221.45909030597323	66026946.732832536	684697.0157648515	3715584.2167945686	2184025.1058975724
2	2029-03-01	207.26681287087962	62311362.51603804	646013.9011038995	3599207.809952258	2135617.732232656
2	2029-04-01	200.02781008377042	58712154.70608582	608505.7660359128	3380678.4401414976	1976229.4835659266
2	2029-05-01	180.37574405498407	55331476.26594432	573275.1680273496	3046654.5020407643	1862620.9177175243
2	2029-06-01	137.07307039351053	52284821.76390352	541528.0203499038	2712050.489252221	1842052.0227956949
2	2029-07-01	132.2194726573848	49572771.27465134	513275.5827289438	2814655.459546086	1973163.5323287458
2	2029-08-01	126.91636028053716	46758115.81510518	484066.03096417035	2535968.004536719	1730079.795263532
2	2029-09-01	121.82432866668938	44222147.81056846	457612.38780096767	2331598.830120572	1556255.59021803
2	2029-10-01	116.33200523003472	41890548.98044789	433305.88494561944	2619700.2089832537	1876628.1592263759
2	2029-11-01	110.69737003654065	39270848.771464646	406174.67707681214	2445246.620931262	1733896.2856012313
2	2029-12-01	106.28784354330242	36825602.15053341	380801.454412746	2359011.0754466383	1672196.921112903
2	2030-01-01	101.34227595965396	34466591.07508677	356297.96728078806	1955016.1045574644	1301576.053790587
2	2030-02-01	97.1175143481654	32511574.97052929	336025.4964545133	1821293.2721970752	1191671.4946485588
2	2030-03-01	93.18418478796215	30690281.698332198	317093.90993084386	1903683.1382866614	1296954.8309973339
2	2030-04-01	89.47338273560737	28786598.560045566	297364.7725692943	1620842.1949568694	1039425.220982071
2	2030-05-01	86.08821272813562	27165756.36508866	280566.3375624029	1735466.8942401106	1171569.6425813092
2	2030-06-01	82.07715434847361	25430289.470848583	262634.44406093727	1528434.3521652548	993079.3408871442
2	2030-07-01	78.33893573908699	23901855.118683316	246822.69811065897	1461561.4110600029	948981.2788632833
2	2030-08-01	75.24699227974172	22440293.70762333	231688.24101828499	1414259.946074307	924680.7713971586
2	2030-09-01	72.12777011638754	21026033.761549003	217070.53694505154	1236413.4968878105	763385.3634611282
2	2030-10-01	68.9371611765597	19789620.26466122	204243.94197441565	1304770.5375787346	851573.3710990937
2	2030-11-01	65.09389328227797	18484849.727082457	190720.7993135255	1138229.1074967727	710183.2605796237
2	2030-12-01	62.14437807287226	17346620.619585693	178935.4348928032	1332468.9935906373	921877.028009465
2	2031-01-01	57.934951882940325	16014151.625995047	165161.57608929984	1133426.1678861259	754629.0264617226
2	2031-02-01	54.90464619046198	14880725.458108926	153465.88064886312	959335.4382291734	602211.5111432353
2	2031-03-01	52.16183112435054	13921390.019879755	143527.51725450205	738301.5718611625	401350.01294485957
2	2031-04-01	50.157605859938954	13183088.448018596	135847.79526625783	704918.5368025769	379629.86821968143
2	2031-05-01	47.79994095335603	12478169.911216015	0.0	0.0	0.0
3	2019-04-01	22806.0	23250456384.01015	253402368.1331197	900540803.1517487	734859393.7254071
3	2019-05-01	22172.849380280713	22349915580.858402	243455605.1385322	798291889.3033968	636474802.1205119
3	2019-06-01	21625.420363301564	21551623691.5549	234602366.94710234	696905887.0626385	538182026.9785583
3	2019-07-01	21145.180745035253	20854717804.492268	226854711.2991346	635477627.8328546	479540642.79647636
3	2019-08-01	20717.732221096387	20219240176.659428	219794178.86548227	615465984.985987	461925075.339581
3	2019-09-01	20316.26188955388	19603774191.673344	212970646.32694194	587631633.970737	436395544.37485564
3	2019-10-01	19942.308037344996	19016142557.702656	206465863.80202597	573277917.7174212	424136423.9447577
3	2019-11-01	19558.74971076587	18442864639.985325	200109225.9123973	581739731.2997847	434998159.0166793
3	2019-12-01	19146.505256904522	17861124908.685375	193663252.1719426	618184902.2071571	474066442.6142369
3	2020-01-01	18689.409838404492	17242940006.478264	186807637.87205234	497688701.3812301	356823301.2314917
3	2020-02-01	18324.212248103533	16745251305.097153	181313675.08078665	467306153.42059773	329774269.1851695
3	2020-03-01	17931.143029349576	16277945151.676409	176150271.18604016	472546803.83037615	337387928.31312823
3	2020-04-01	17565.199395820156	15805398347.846043	170944077.85450587	462301330.2968017	329965963.8704424
3	2020-05-01	17176.93457066029	15343097017.549288	165851769.78575405	454631270.03644156	324943875.79395807
3	2020-06-01	16793.420115447745	14888465747.512846	160849543.6523733	439085009.41265106	311734649.35876787
3	2020-07-01	16426.0796797016	14449380738.100216	156017918.0081366	422935018.3969579	297971896.352317
3	2020-08-01	16090.40515709609	14026445719.703156	151365616.72898635	413993380.8946026	290964137.5428959
3	2020-09-01	15739.731124657017	13612452338.80854	146814246.59246165	406119482.16263485	285255471.08032405
3	2020-10-01	15408.353757454928	13206332856.645992	142352191.843972	418831516.7268568	299962749.6399065
3	2020-11-01	15052.334395809341	12787501339.919125	137751759.1130247	436996412.66376925	320329353.92300713
3	2020-12-01	14664.721857596502	12350504927.255411	132952753.22087997	465466821.04095566	351428377.02436644
3	2021-01-01	14240.29687035983	11885038106.214481	127843112.29771736	366094063.5866463	265866285.2643678
3	2021-02-01	13207.99482325611	11518944042.627745	123827115.07233433	353087980.1881349	261748502.2928366
3	2021-03-01	12303.067056843585	11165856062.439587	119958279.07137156	346975335.00181997	262684797.7788263
3	2021-04-01	11841.203641288033	10818880727.437838	116163370.83739886	337924878.8522756	256623741.70231062
3	2021-05-01	11612.519808459223	10480955848.5855	112466588.16585061	333351335.4400672	253104112.3647592
3	2021-06-01	11381.944178859592	10147604513.145493	108826255.86544338	327971650.3913473	248834209.21105042
3	2021-07-01	11153.502296271723	9819632862.754162	105245308.19761498	327732937.66101456	249605016.71867532
3	2021-08-01	10921.916614504516	9491899925.093094	101674286.79245862	322758991.91664815	245833468.86233407
3	2021-09-01	10691.47499728126	9169140933.176443	98164185.35848302	311975732.60096717	236239482.31309506
3	2021-10-01	10457.452820456416	8857165200.575474	94769372.25065044	325438434.32673836	250950939.1125991
3	2021-11-01	10204.28416591024	8531726766.248762	91233038.36721326	339838858.63995326	266771744.3728035
3	2021-12-01	9916.58474556986	8191887907.608773	87539824.9124184	368014640.4573122	296604339.47335577
3	2022-01-01	9592.940400809926	7823873267.151497	83543962.89350902	291076978.7115073	221638257.2726225
3	2022-02-01	9358.721048347375	7532796288.439974	80394253.22729251	283557631.78080463	215515736.47736531
3	2022-03-01	9125.442522948679	7249238656.659163	77327005.60766011	280377888.6313849	213622326.63646603
3	2022-04-01	8892.717893936468	6968860768.027767	74303415.75927313	272190458.6516492	206915859.7130898
3	2022-05-01	8655.682355569523	6696670309.376139	71368821.50043957	269802355.8049108	205963683.50299397
3	2022-06-01	8423.710154304812	6426867953.571231	68466276.32685433	265887389.84803727	203526122.12975326
3	2022-07-01	8186.203387839514	6160980563.723173	65605882.834399745	266407648.80788705	205493406.5156223
3	2022-08-01	7943.217451099798	5894572914.915312	62749991.52525346	258901603.044962	199640882.5369943
3	2022-09-01	7708.222287890096	5635671311.870345	59975420.03981059	248706581.12822726	191071774.21653908
3	2022-10-01	7461.797840469277	5386964730.742105	57313226.01915215	254654906.39908677	198607259.19834977
3	2022-11-01	7204.53157309651	5132309824.343019	54589850.39243059	262345981.62935644	208066581.04642165
3	2022-12-01	6925.8923567411775	4869963842.713676	51783343.898299105	278027911.3704549	225635747.95212454
3	2023-01-01	6612.497459422919	4591935931.343216	48810948.783152364	216370233.39319256	166154605.62217587
3	2023-02-01	6389.509107597547	4375565697.950026	46503186.00583076	206783976.7562704	158007665.69463125
3	2023-03-01	6165.790422698561	4168781721.1937475	44295810.73257746	200830950.641427	153568296.99603063
3	2023-04-01	5949.785434580853	3967950770.552327	42153637.23974663	190920056.24698722	145243754.9588594
3	2023-05-01	5720.360281881002	3777030714.305338	40117366.15539556	182899694.29597464	138911058.41873696
3	2023-06-01	5494.096169947491	3594131020.0093627	38169004.18214594	178818907.59638608	136524178.40973923
3	2023-07-01	5272.50993475835	3415312112.4129725	36265468.58616657	166073075.9629978	125766508.71996816
3	2023-08-01	5033.430984274603	3249239036.449978	34495693.36878701	160752902.19586098	122390739.0208873
3	2023-09-01	4823.473158056446	3088486134.2541194	32783039.985100992	152980138.3755537	116379307.17944232
3	2023-10-01	4626.695673683928	2935505995.87856	31154835.852935847	150335811.8942264	115322617.35537724
3	2023-11-01	4419.317984286971	2785170183.9843383	29554136.795431267	151609289.53657416	118184492.94668365
3	2023-12-01	4219.73342767755	2633560894.447762	27939225.993194323	159625174.0526472	127736017.00005227
3	2024-01-01	3994.327012872657	2473935720.3951163	26240189.22295176	123357217.56607474	93213700.46216725
3	2024-02-01	3830.7138931040836	2350578502.829041	24928215.209732242	115775874.50890452	86850946.5721929
3	2024-03-01	3684.4359947471203	2234802628.32013	23696652.208836466	113622810.16023037	85693024.2892595
3	2024-04-01	3546.476275985062	2121179818.1599052	22488826.21910818	105370825.98846518	78412198.67885001
3	2024-05-01	3417.4011510445016	2015808992.1714425	21367364.60868153	101307983.08684158	75253131.82619488
3	2024-06-01	3285.6998314764364	1914501009.084601	20290518.884611238	96600730.82086663	71487110.9673542
3	2024-07-01	3163.730104013182	1817900278.2637343	19262760.158033356	91962845.93620914	67701378.11428612
3	2024-08-01	3043.4210702666437	1725937432.3275237	18283933.252836317	87404020.58628795	64258870.639452934
3	2024-09-01	2880.189390892201	1638533411.741238	17355497.90348195	85278256.23090667	63191255.038729794
3	2024-10-01	2775.054014671348	1553255155.5103297	16450705.177771153	80149469.00276993	58931574.2360933
3	2024-11-01	2649.964329320438	1473105686.507559	15598805.484352695	82898951.30191985	63686244.85457192
3	2024-12-01	2422.0838065944968	1390206735.2056386	14719314.680378143	83263825.5463062	67570758.23182169
3	2025-01-01	2120.2415244384856	1306942909.6593347	13834552.858664785	64942138.956133075	50123242.5097848
