Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
11926	2015-02-26	2030-04-26	1620025.43	15.95	49.71	78	1750000.0	100000.0	4	0
11927	2015-02-20	2029-11-19	970005.66	15.95	55.68	10	1500000.0	56940.49	5	0
11928	2015-02-20	2020-04-20	481902.52	15.95	34.53	78	1243000.0	58000.0	4	0
11929	2015-02-11	2019-11-18	281344.96	14.95	48.96	78	1700000.0	50000.0	5	0
11930	2015-01-22	2025-03-21	2064571.94	14.95	71.07	78	2600000.0	65000.0	5	0
11931	2015-01-26	2022-04-28	625348.26	14.95	67.68	78	2650000.0	70504.78	5	0
11932	2015-03-25	2026-03-30	1335755.14	14.95	42.82	78	1900000.0	54157.5	5	0
11933	2015-01-14	2024-11-28	315896.59	14.95	38.3	78	1400000.0	50000.0	3	0
11934	2015-04-03	2030-06-03	1866268.23	16.95	44.07	78	2000000.0	55000.0	5	0
11935	2014-12-30	2018-09-12	0.0	14.95	69.15	78	2839000.0	51598.63	5	0
11936	2014-12-22	2020-04-20	808486.56	15.95	61.87	78	2450000.0	66979.23	4	0
11937	2014-12-18	2037-02-18	2640094.58	14.95	79.02	78	2720000.0	63000.0	5	0
11938	2014-12-16	2025-02-14	1144502.32	12.85	45.6	78	1500000.0	41666.67	4	0
11939	2014-12-16	2034-12-18	1554070.31	12.15	57.93	78	2100000.0	51414.48	5	0
11940	2015-01-15	2030-01-10	2732022.53	12.95	74.34	78	4200000.0	95000.0	5	0
11941	2014-12-12	2019-03-18	241390.13	13.25	57.42	78	15000000.0	360000.0	6	0
11942	2014-12-11	2021-10-28	738436.02	12.65	79.95	78	2920000.0	81418.33	3	0
11943	2014-12-10	2019-10-10	316943.31	12.45	66.55	78	2800000.0	54033.55	3	0
11944	2014-12-10	2028-09-18	2487258.14	12.15	77.17	78	3250000.0	88914.79	3	0
11945	2014-12-09	2032-02-09	1934263.56	12.85	74.85	78	2100000.0	43351.89	3	0
11946	2014-12-23	2025-02-21	1490174.36	14.95	42.95	78	2000000.0	90381.92	5	0
11947	2015-04-08	2018-09-22	0.0	15.95	37.79	78	1100000.0	44504.55	5	0
11948	2015-04-08	2032-06-08	12276370.53	15.95	50.0	78	12911000.0	350000.0	5	0
11949	2015-04-16	2021-04-28	1008552.65	15.95	17.03	78	2010000.0	100000.0	5	0
11950	2012-01-26	2027-03-26	433748.59	12.55	48.78	37	800000.0	26000.0	5	0
11951	2011-12-27	2021-03-18	381992.52	13.35	88.04	37	1215000.0	35260.33	5	0
